epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,6167.01,0.89011,0.61778,1.07047,0.74624,0.72372,0.75996,0.52339,1.25462,1.08905,1.40183,0.0031888,0.0031888,0.0031888
174,6203.13,0.89305,0.62369,1.07681,0.74199,0.72981,0.76899,0.52788,1.23894,1.09852,1.3797,0.0031492,0.0031492,0.0031492
175,6239.22,0.88184,0.61915,1.06873,0.76606,0.71552,0.77505,0.53317,1.24514,1.11859,1.37666,0.0031096,0.0031096,0.0031096
176,6275.08,0.87454,0.60433,1.06431,0.74496,0.73194,0.76641,0.53274,1.25356,1.16023,1.38388,0.00307,0.00307,0.00307
177,6311.05,0.87508,0.61549,1.06882,0.74666,0.72561,0.7714,0.52945,1.24669,1.1155,1.39154,0.0030304,0.0030304,0.0030304
178,6347.45,0.87463,0.61374,1.06918,0.72253,0.7494,0.76792,0.53227,1.23438,1.11376,1.38245,0.0029908,0.0029908,0.0029908
179,6383.5,0.87704,0.61459,1.06804,0.74828,0.73404,0.77484,0.53735,1.22488,1.10062,1.37543,0.0029512,0.0029512,0.0029512
180,6420.1,0.87047,0.61668,1.07056,0.72972,0.72378,0.76194,0.52693,1.24478,1.1102,1.40239,0.0029116,0.0029116,0.0029116
181,6455.89,0.85797,0.59955,1.05867,0.73248,0.71933,0.7636,0.52306,1.25228,1.13194,1.40442,0.002872,0.002872,0.002872
182,6491.46,0.87822,0.60309,1.06634,0.77119,0.71892,0.7714,0.52702,1.25716,1.13525,1.40173,0.0028324,0.0028324,0.0028324
183,6527.77,0.86794,0.60407,1.06824,0.75083,0.72297,0.77681,0.53079,1.25725,1.15109,1.39639,0.0027928,0.0027928,0.0027928
184,6563.86,0.8707,0.61071,1.06788,0.74549,0.72282,0.7728,0.52938,1.23578,1.18327,1.38823,0.0027532,0.0027532,0.0027532
